LOG Start: Date: 13.05.2003 Time: 03:46:49,
 ,
Time [sec],Vehicle | Vehicle Speed
0.64,0
0.656,0
1.14,0.6
1.64,8.6
2.136,13.6
2.64,58.7
3.136,52.8
3.636,56.4
4.136,81.2
4.636,99.1
5.136,96.1
5.636,85.3
6.132,68.2
6.636,47.9
7.136,54.5
7.636,78.4
8.132,85.4
8.636,90.7
9.132,92.6
9.636,83.6
10.132,72
10.632,60.2
11.132,55.1
11.636,48
12.132,45.7
12.632,48.7
13.132,60.5
13.632,71.5
14.132,77.4
14.632,83.2
15.128,88.7
15.632,81.8
16.128,72
16.632,38.2
17.128,2.8
17.632,10.5
18.128,17.8
18.632,46
19.128,74.4
19.628,86.6
20.128,80.7
20.628,78
21.128,77.9
21.628,74.1
22.125,69.9
22.628,61.5
23.128,51.8
23.628,49.5
24.125,50
24.628,57.6
25.125,65.6
25.628,72.2
26.125,77.3
26.625,82.8
27.125,84.5
27.625,76.6
28.125,71.5
28.628,57.9
29.125,54
29.625,51.5
30.125,49.7
30.625,53.9
31.121,61
31.625,67.2
32.121,71.6
32.625,74.4
33.121,76.3
33.621,79.5
34.121,82.5
34.625,83.7
35.121,71.2
35.621,67.7
36.121,64.2
36.621,61
37.121,58.1
37.621,55.2
38.117,52.5
38.621,49.8
39.246,46.6
39.648,44.5
40.148,42.1
40.648,39.7
